Date,Product,Region,Sales_Units,Price_USD,Marketing_Spend_USD,Promotion,Inventory_Units,Day_of_Week
2019-01-01,Synthetic_Pharma_Product_A,South,1024,40.07,15613.84,0,18846,Tuesday
2019-01-02,Synthetic_Pharma_Product_A,West,1380,39.65,14432.07,1,18061,Wednesday
2019-01-03,Synthetic_Pharma_Product_A,South,1254,41.91,17518.36,0,18421,Thursday
2019-01-04,Synthetic_Pharma_Product_A,North,972,46.1,13341.41,0,21294,Friday
2019-01-05,Synthetic_Pharma_Product_A,East,675,43.9,15508.58,0,15484,Saturday
2019-01-06,Synthetic_Pharma_Product_A,West,1006,40.7,12609.55,0,20850,Sunday
2019-01-07,Synthetic_Pharma_Product_A,West,1282,44.7,26841.26,0,21293,Monday
2019-01-08,Synthetic_Pharma_Product_A,North,1606,34.0,18158.69,1,18505,Tuesday
2019-01-09,Synthetic_Pharma_Product_A,East,1187,46.02,14851.24,0,12695,Wednesday
2019-01-10,Synthetic_Pharma_Product_A,North,1207,35.91,18962.91,0,16480,Thursday
2019-01-11,Synthetic_Pharma_Product_A,North,1278,40.73,17494.52,0,21242,Friday
2019-01-12,Synthetic_Pharma_Product_A,West,1411,38.08,17005.64,1,18743,Saturday
2019-01-13,Synthetic_Pharma_Product_A,North,1160,37.47,20763.75,1,16302,Sunday
2019-01-14,Synthetic_Pharma_Product_A,South,1185,46.06,21408.78,0,16738,Monday
2019-01-15,Synthetic_Pharma_Product_A,North,1139,40.36,15612.74,0,20102,Tuesday
2019-01-16,Synthetic_Pharma_Product_A,West,1126,43.21,15408.82,0,19367,Wednesday
2019-01-17,Synthetic_Pharma_Product_A,West,1224,41.84,16762.27,0,17403,Thursday
2019-01-18,Synthetic_Pharma_Product_A,East,973,43.67,8000.0,0,17083,Friday
2019-01-19,Synthetic_Pharma_Product_A,West,895,42.27,11181.64,0,17021,Saturday
2019-01-20,Synthetic_Pharma_Product_A,North,1238,37.51,24150.93,0,15694,Sunday
2019-01-21,Synthetic_Pharma_Product_A,South,1118,45.49,25402.35,0,22038,Monday
2019-01-22,Synthetic_Pharma_Product_A,South,1116,40.27,16879.34,0,17194,Tuesday
2019-01-23,Synthetic_Pharma_Product_A,North,1453,36.55,20594.51,0,21043,Wednesday
2019-01-24,Synthetic_Pharma_Product_A,South,1148,40.5,19400.63,0,21803,Thursday
2019-01-25,Synthetic_Pharma_Product_A,West,1342,47.25,30000.0,0,20496,Friday
2019-01-26,Synthetic_Pharma_Product_A,North,1134,44.98,23038.09,0,16921,Saturday
2019-01-27,Synthetic_Pharma_Product_A,South,908,40.78,17424.37,0,19009,Sunday
2019-01-28,Synthetic_Pharma_Product_A,North,1120,40.78,13700.07,0,17940,Monday
2019-01-29,Synthetic_Pharma_Product_A,North,1282,40.87,10770.99,0,15741,Tuesday
2019-01-30,Synthetic_Pharma_Product_A,West,981,49.27,18915.59,0,18811,Wednesday
2019-01-31,Synthetic_Pharma_Product_A,South,1111,43.34,14596.42,0,15052,Thursday
2019-02-01,Synthetic_Pharma_Product_A,South,1168,43.51,11599.86,0,20969,Friday
2019-02-02,Synthetic_Pharma_Product_A,West,1077,45.61,15090.42,0,16838,Saturday
