record_id,region,product,sales_channel,quarter,sales_rep_count,marketing_spend_usd,doctor_visits,samples_distributed,prior_month_sales_usd,competitor_index,stock_availability,discount_pct,market_potential_index,monthly_sales_usd
10001,South,OncoPlus,Hospital,Q4,16,13744.58,265,14048,561932.16,1.36,0.764,16.8,1.11,1188003.47
10002,Central,NeuroCalm,Retail Pharmacy,Q4,51,109153.77,308,7401,483317.55,0.79,0.737,16.79,0.9,753084.54
10003,West,DiabeSafe,Clinic,Q4,39,153179.23,433,3285,616988.74,1.28,0.95,2.25,1.18,992974.41
10004,East,CardioCare,Clinic,Q2,76,103326.68,228,1219,514601.6,0.62,0.807,6.88,0.69,664046.94
10005,North,OncoPlus,Retail Pharmacy,Q3,40,47276.57,145,9097,224498.04,1.09,0.832,0.51,1.32,720650.89
10006,North,Immunex,Retail Pharmacy,Q2,38,15723.76,254,7355,183681.48,0.99,0.861,15.39,0.62,419548.25
10007,North,DiabeSafe,Hospital,Q3,60,46486.77,435,2794,462584.11,1.04,0.955,6.46,1.16,1088691.72
10008,Central,CardioCare,Clinic,Q1,59,80740.64,445,8763,255749.92,1.38,0.902,11.36,0.84,775834.08
10009,East,Respira,Hospital,Q4,10,139133.94,141,14641,381053.31,1.33,0.892,12.87,1.25,761585.44
10010,West,NeuroCalm,Clinic,Q3,64,41933.28,157,10745,33879.63,1.26,0.769,7.74,1.05,347147.8
10011,North,OncoPlus,Retail Pharmacy,Q2,63,132364.55,134,9921,68369.14,0.8,0.864,5.52,0.95,696756.82
10012,Central,DiabeSafe,Retail Pharmacy,Q4,49,157378.69,439,10259,361928.12,1.37,0.92,17.32,0.67,1065095.15
10013,West,DiabeSafe,Retail Pharmacy,Q1,64,87170.96,181,12374,380964.42,0.64,0.993,17.36,1.14,757909.52
10014,North,Immunex,Hospital,Q3,32,149643.44,220,11645,495900.83,1.32,0.776,5.21,1.47,1294229.6
10015,North,Immunex,Hospital,Q3,7,104291.75,253,4982,111818.5,0.85,0.723,8.63,1.33,828627.14
10016,North,Respira,Hospital,Q3,21,118305.44,47,14579,348173.51,0.6,0.741,17.51,0.56,755196.31
10017,South,NeuroCalm,Hospital,Q4,20,99467.34,30,1198,150557.54,1.15,0.825,0.09,0.88,395232.89
10018,East,Respira,Specialty Pharmacy,Q2,26,88739.36,225,7743,87781.59,0.76,0.95,7.43,1.43,584946.81
10019,South,CardioCare,Retail Pharmacy,Q2,68,49891.09,186,13988,284507.39,0.77,0.722,1.81,1.0,644544.22
10020,South,CardioCare,Hospital,Q3,15,61542.99,266,9518,131268.72,0.83,0.848,9.16,1.16,709456.18
10021,East,Respira,Clinic,Q1,79,59294.92,66,6418,167504.83,0.61,0.812,0.44,1.41,349941.67
10022,North,NeuroCalm,Clinic,Q1,14,105759.12,265,848,226883.84,0.71,0.735,7.32,1.37,453385.78
10023,South,Respira,Clinic,Q2,27,30392.13,146,5874,190820.81,0.55,0.846,3.97,1.0,382731.27
10024,South,NeuroCalm,Clinic,Q1,40,165854.59,166,12600,84306.6,0.95,0.791,9.6,0.94,518684.49
10025,South,NeuroCalm,Hospital,Q2,58,132511.37,137,8369,85748.07,0.63,0.819,17.93,0.84,617438.11
10026,West,OncoPlus,Retail Pharmacy,Q3,28,78245.76,418,807,149814.64,1.16,0.918,14.41,1.22,853123.96
10027,North,NeuroCalm,Specialty Pharmacy,Q2,26,36966.1,401,3916,61346.7,0.76,0.866,15.22,0.79,496285.9
10028,East,Immunex,Specialty Pharmacy,Q2,63,159938.67,431,13938,418403.35,1.4,0.755,11.43,0.75,1380728.1
10029,East,NeuroCalm,Hospital,Q3,66,150042.28,171,14748,208142.56,1.33,0.989,0.75,0.86,704715.8
10030,North,NeuroCalm,Specialty Pharmacy,Q1,25,132692.66,91,11026,203442.5,0.81,0.898,3.72,0.68,465399.0
10031,East,NeuroCalm,Hospital,Q2,3,56163.0,382,13553,235838.94,1.25,0.934,16.65,1.2,708678.94
10032,North,CardioCare,Hospital,Q2,72,78415.93,156,5320,440933.69,1.27,0.742,6.59,1.12,903992.92
10033,North,Immunex,Retail Pharmacy,Q3,44,27467.2,194,11501,569793.01,1.44,0.733,1.87,0.98,693784.77
10034,Central,Immunex,Retail Pharmacy,Q1,42,42136.72,308,14407,500633.9,1.09,0.725,12.64,0.89,941925.35
10035,Central,Respira,Retail Pharmacy,Q2,6,143112.83,38,4058,481068.12,0.62,0.773,5.39,1.41,591169.33
10036,West,OncoPlus,Hospital,Q3,39,131556.58,214,4978,330322.54,1.13,0.836,4.84,0.53,1145347.18
10037,South,NeuroCalm,Clinic,Q2,52,110892.58,349,12169,460159.45,1.11,0.982,17.96,1.27,753564.52
10038,North,DiabeSafe,Hospital,Q4,23,162273.54,443,7031,372712.67,1.12,0.848,15.45,1.4,1310501.14
10039,West,OncoPlus,Hospital,Q3,50,109155.31,194,5120,164075.33,0.83,0.801,7.34,0.95,828434.87
